title,series,rating,category,episode,description,image,video,slug
Tokyo Ghoul:re S2 Episode 12,Tokyo Ghoul:re S2,7.11,"Action,Drama,Horror,Mystery,Psychological,Seinen,Supernatural",12,Nonton Tokyo Ghoul:re Season 2 Sub Indo - musim kedua Tokyo Ghoul:re.,https://myanimelist.cdn-dena.com/images/anime/1719/93889.jpg,"https://r4---sn-aigzrn7k.googlevideo.com/videoplayback?id=e29dba11062d8235&itag=18&source=blogger&mm=31&mn=sn-aigzrn7k&ms=au&mv=u&pl=48&ei=yr4mXIDaNcKO_APmhLbwCQ&susc=bl&mime=video/mp4&dur=1457.330&lmt=1545756150083346&mt=1546042394&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546071882&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=580772AEDE0973F22C23DCE162CBBC6F852440F107EF0C4CEF25C883281226DB.30DD4AD4E7FBFC91A481CB0F1804FB2959EACA1B6EBC23B930D6D49DB503CAE2&key=us0 ",tokyo-ghoul:re-s2-episode-12
Conception Episode 12,Conception,5.4,"Action,Adventure,Fantasy,Harem,Magic,Romance",12,"Nonton Conception Sub Indo - Pada hari kelulusan SMA-nya, sepupu Itsuki, Mahiru, mengatakan kepadanya bahwa dia hamil. Saat itu, sebuah gerbang cahaya muncul dan mengangkut keduanya ke dunia Granvania. Di tanah ini, “Kotoran” telah menyebabkan gangguan pada Bintang, akhirnya menjerumuskan Granvania ke dalam kekacauan dan kekacauan. Dan Itsuki, sekarang terungkap menjadi orang yang ditakdirkan untuk bertemu dengan “Gadis Bintang”, dilihat sebagai harapan terakhir Granvania dan dengan demikian diberi tugas untuk menghasilkan “Anak Bintang” dan memerangi “Kotoran”. Dan sampai tugas selesai, Itsuki mungkin tidak akan pernah bisa pulang ke rumah.",https://myanimelist.cdn-dena.com/images/anime/1849/95019.jpg,"https://r5---sn-aigzrn76.googlevideo.com/videoplayback?id=3a224d885904889c&itag=18&source=blogger&mm=31&mn=sn-aigzrn76&ms=au&mv=u&pl=48&ei=0r4mXN28Comd-gPz6J64BQ&susc=bl&mime=video/mp4&dur=1420.202&lmt=1545798162304853&mt=1546042394&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546071890&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=88110F2DC6026C765FB0FD8793C68B144AD6BA58421CE90E73E6B6E5D2F83FC7.555BC43D40C8483DE6DAB270D309E81A68B01B1324B5B7979B52AFC2D2A9A425&key=us0 ",conception-episode-12
Chuukan Kanriroku Tonegawa Episode 24,Chuukan Kanriroku Tonegawa,6.8,"Comedy, Drama, Parody, Psychological, Seinen",24,"Nonton Chuukan Kanriroku Tonegawa Sub Indo - Chuukan Kanriroku Tonegawa adalah spin-off dari seri Kaiji, yang mengikuti Tonegawa, tangan kanan dari Kazutaka Hyoudou, presiden Teiai Corporation dan pemilik banyak turnamen judi. Setelah Hyoudou mulai bosan dengan hidupnya, dia memerintahkan Tonegawa untuk mengatur apa yang disebut ""permainan kematian"" karena itu adalah tugasnya dan bawahannya untuk menjaga presiden dalam suasana hati yang baik. Tonegawa harus bekerja sama dengan bawahannya untuk membuat presiden bahagia dan yang berikutnya adalah cerita lucu dari interaksinya dengan bawahannya dan karakter lain dari seri Kaiji.",https://myanimelist.cdn-dena.com/images/anime/1072/93145.jpg,"https://r2---sn-aigzrn7d.googlevideo.com/videoplayback?id=21c2e5151d0c0c22&itag=18&source=blogger&mm=31&mn=sn-aigzrn7d&ms=au&mv=u&pl=48&ei=2r4mXJO8DImj_AOs_7Bo&susc=bl&mime=video/mp4&dur=1380.356&lmt=1545801545121693&mt=1546042394&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546071898&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=6DDDAF4E9EC1134F41F119336130B4CCB524B8E92B6C688715D50F71AD5C719E.ED108F31CC3EC878D5E1CE9F030E940BB041FF4ED901872B6DEA85368CAF4163&key=us0 ",chuukan-kanriroku-tonegawa-episode-24
Hangyakusei Million Arthur Episode 9,Hangyakusei Million Arthur,6.8,"Action,Adventure,Fantasy,Magic",9,"Nonton Hangyakusei Million Arthur Sub Indo - Excalibur merupakan senjata kuat yang mampu menyebabkan distorsi sejarah. Untuk mengatasinya, keenam Arthur yang terdiri dari Danchou Arthur, Tekken Arthur, Yamaneko Arthur, Renkin Arthur, Kakka Arthur, dan Rurou Arthur, melakukan perjalanan ke masa lalu untuk menghancurkan Excalibur. Tidak main-main, jumlah Excalibur itu adalah sebanyak satu juta. Ini adalah kisah para Arthur untuk melindungi sejarah dan masa depan.",https://myanimelist.cdn-dena.com/images/anime/1881/93383.jpg,"https://r3---sn-aigl6n7z.googlevideo.com/videoplayback?id=80dd8093c39bf9ba&itag=18&source=blogger&mm=31&mn=sn-aigl6n7z&ms=au&mv=u&pl=48&ei=5b4mXJOGMou_-wOQg4L4Cg&susc=bl&mime=video/mp4&dur=1440.101&lmt=1545767555468679&mt=1546042394&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546071909&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=27D90C3B17E03B12F0B5EEAEDA95A33377F7C0DA344416FBBA9420CE12657D7A.54BD9F0FD056559368548233E217CBA8DF7A5BBAA8892A4986608ABA5F6E1306&key=us0 ",hangyakusei-million-arthur-episode-9
Manaria Friends Episode 1,Manaria Friends,N/A,"Action,Adventure,Demons,Supernatural,Magic,Fantasy",1,"Nonton Manaria Friends Sub Indo - Mysteria Academy adalah sekolah sihir bergengsi yang mengajarkan sihir tanpa diskriminasi kepada tiga faksi (pria, dewa, setan), yang biasanya terlibat dalam pertempuran satu sama lain. Dua siswa akademi adalah Anne, seorang putri dan siswa teladan, dan Grea, seorang putri yang lahir dari naga dan manusia.",https://cdn.myanimelist.net/images/anime/1580/95199.jpg,"https://r3---sn-aigl6n7z.googlevideo.com/videoplayback?id=19318b226d315909&itag=18&source=blogger&mm=31&mn=sn-aigl6n7z&ms=au&mv=u&pl=48&ei=7r4mXJmZMuq9-AOK-YPgDQ&susc=bl&mime=video/mp4&dur=704.981&lmt=1545760464244052&mt=1546042394&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546071918&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=42A3F382243D54CE43D99E2473C11693285C9B2EC6F5F1F1A026D08736C76CFF.A8093449B70D71E0CAA2C07A927474FEA1DE84000711BFDF3A3D10C43465EE40&key=us0 ",manaria-friends-episode-1
title,series,rating,category,episode,description,image,video,slug
Gaikotsu Shotenin Honda-san Episode 12,Gaikotsu Shotenin Honda-san,6.9,"Comedy,SliceofLife,Supernatural",12,Nonton Gaikotsu Shotenin Honda-san Sub Indo - Kisah komedi yang berpusat pada sebuah kerangka bernama Honda yang bekerja di toko buku. Kisah-kisah keseharian dia dalam menjaga toko buku di bagian manga.,https://myanimelist.cdn-dena.com/images/anime/1555/93865.jpg,"https://r4---sn-aigl6nl7.googlevideo.com/videoplayback?id=e7a9e12160e1d84a&itag=18&source=blogger&mm=31&mn=sn-aigl6nl7&ms=au&mv=u&pl=48&ei=U78mXMKkO4_a-wPNxqWgDA&susc=bl&mime=video/mp4&dur=692.233&lmt=1545870682068574&mt=1546042394&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546072019&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=2313081847CA91E1517611388B1DB2BDDE3CD9A9C7E909EA44EF5C85CD1BE508.C7740BF4ACC54886E9B59EBFA26926439E095CCD498F56EA2046BA743863898F&key=us0 ",gaikotsu-shotenin-honda-san-episode-12
Chuukan Kanriroku Tonegawa Episode 24,Chuukan Kanriroku Tonegawa,6.8,"Comedy, Drama, Parody, Psychological, Seinen",24,"Nonton Chuukan Kanriroku Tonegawa Sub Indo - Chuukan Kanriroku Tonegawa adalah spin-off dari seri Kaiji, yang mengikuti Tonegawa, tangan kanan dari Kazutaka Hyoudou, presiden Teiai Corporation dan pemilik banyak turnamen judi. Setelah Hyoudou mulai bosan dengan hidupnya, dia memerintahkan Tonegawa untuk mengatur apa yang disebut ""permainan kematian"" karena itu adalah tugasnya dan bawahannya untuk menjaga presiden dalam suasana hati yang baik. Tonegawa harus bekerja sama dengan bawahannya untuk membuat presiden bahagia dan yang berikutnya adalah cerita lucu dari interaksinya dengan bawahannya dan karakter lain dari seri Kaiji.",https://myanimelist.cdn-dena.com/images/anime/1072/93145.jpg,"https://r2---sn-aigzrn7d.googlevideo.com/videoplayback?id=21c2e5151d0c0c22&itag=18&source=blogger&mm=31&mn=sn-aigzrn7d&ms=au&mv=u&pl=48&ei=XL8mXKd20qT6A-CAucAG&susc=bl&mime=video/mp4&dur=1380.356&lmt=1545801545121693&mt=1546042394&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546072028&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=E6E9C4AC8C6E83EF80D5626B5980C26A23D5953BC6CE933A57B949BC24E111FD.69C36E9D8CA54FE59981DC216EF54FC1B215CB2863A58E19C50A658A74B5488B&key=us0 ",chuukan-kanriroku-tonegawa-episode-24
Tokyo Ghoul:re S2 Episode 12,Tokyo Ghoul:re S2,7.11,"Action,Drama,Horror,Mystery,Psychological,Seinen,Supernatural",12,Nonton Tokyo Ghoul:re Season 2 Sub Indo - musim kedua Tokyo Ghoul:re.,https://myanimelist.cdn-dena.com/images/anime/1719/93889.jpg,"https://r4---sn-aigzrn7k.googlevideo.com/videoplayback?id=e29dba11062d8235&itag=18&source=blogger&mm=31&mn=sn-aigzrn7k&ms=au&mv=u&pl=48&ei=Yr8mXP3QDpK7_AP8x5PgAQ&susc=bl&mime=video/mp4&dur=1457.330&lmt=1545756150083346&mt=1546042394&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546072034&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=C11C06607B54AD317B2383C43AEC061A3F91BE231B9A9544D44A86F76CF0AC36.52016419C7E5E740E41E4EF4D164D65300FD5F2244DA3122EB80D55B4309D3C6&key=us0 ",tokyo-ghoul:re-s2-episode-12
Manaria Friends Episode 1,Manaria Friends,N/A,"Action,Adventure,Demons,Supernatural,Magic,Fantasy",1,"Nonton Manaria Friends Sub Indo - Mysteria Academy adalah sekolah sihir bergengsi yang mengajarkan sihir tanpa diskriminasi kepada tiga faksi (pria, dewa, setan), yang biasanya terlibat dalam pertempuran satu sama lain. Dua siswa akademi adalah Anne, seorang putri dan siswa teladan, dan Grea, seorang putri yang lahir dari naga dan manusia.",https://cdn.myanimelist.net/images/anime/1580/95199.jpg,"https://r3---sn-aigzrn7s.googlevideo.com/videoplayback?id=19318b226d315909&itag=18&source=blogger&mm=31&mn=sn-aigzrn7s&ms=au&mv=u&pl=48&ei=mb8mXNq6LoKw-wPZ-LaoDg&susc=bl&mime=video/mp4&dur=704.981&lmt=1545760464244052&mt=1546042394&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546072089&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=27DC6F75728F235E38E0E3D7C91F815415B44495E170697BE6CA55C02E691E10.22D2CE002EDBBE741F6FAB0E5FC08207E59F6C2EFC10AD364EC3825947EAC077&key=us0 ",manaria-friends-episode-1
Conception Episode 12,Conception,5.4,"Action,Adventure,Fantasy,Harem,Magic,Romance",12,"Nonton Conception Sub Indo - Pada hari kelulusan SMA-nya, sepupu Itsuki, Mahiru, mengatakan kepadanya bahwa dia hamil. Saat itu, sebuah gerbang cahaya muncul dan mengangkut keduanya ke dunia Granvania. Di tanah ini, “Kotoran” telah menyebabkan gangguan pada Bintang, akhirnya menjerumuskan Granvania ke dalam kekacauan dan kekacauan. Dan Itsuki, sekarang terungkap menjadi orang yang ditakdirkan untuk bertemu dengan “Gadis Bintang”, dilihat sebagai harapan terakhir Granvania dan dengan demikian diberi tugas untuk menghasilkan “Anak Bintang” dan memerangi “Kotoran”. Dan sampai tugas selesai, Itsuki mungkin tidak akan pernah bisa pulang ke rumah.",https://myanimelist.cdn-dena.com/images/anime/1849/95019.jpg,"https://r5---sn-aigl6ney.googlevideo.com/videoplayback?id=3a224d885904889c&itag=18&source=blogger&mm=31&mn=sn-aigl6ney&ms=au&mv=u&pl=48&ei=pr8mXIT6A9yr_APM3aaAAw&susc=bl&mime=video/mp4&dur=1420.202&lmt=1545798162304853&mt=1546042394&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546072102&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=B5781DB6E9F1635DA6D3F999522B9E51F9D83B95A38493E191A5F9DB2A7B7492.A4AED5BF290DB27BFF809B4F5A4778D707C67CD742415784A388D48EE483BC03&key=us0 ",conception-episode-12
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai Episode 13,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,7.8,"Comedy,Supernatural,Romance,School",13,"Nonton Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai Sub Indo - Pubertas Syndrome — sindrom yang diisukan dan misterius yang hanya memengaruhi mereka di masa puber. Sebagai contoh, seorang gadis kelinci tiba-tiba muncul di depan Sakuta Azusagawa. Identitas nyata gadis kelinci adalah Mai Sakurajima, seorang selebritas remaja yang saat ini adalah seorang siswa SMA yang tidak aktif. Untuk beberapa alasan, sosok menawannya tidak mencerminkan di mata orang lain. Dalam perjalanan mengungkap misteri di balik fenomena ini, Sakuta mulai mengeksplorasi perasaannya terhadap Mai. Terletak di sebuah kota di mana langit dan laut bersinar, Sakuta mengungkapkan makna di balik pertemuan anehnya pada wanita dengan sindrom tersebut.",https://myanimelist.cdn-dena.com/images/anime/1301/93586.jpg,"https://r2---sn-aigl6nek.googlevideo.com/videoplayback?id=67239d81724561e5&itag=18&source=blogger&mm=31&mn=sn-aigl6nek&ms=au&mv=u&pl=48&ei=rL8mXIfsBKGV_AOi-67ADg&susc=bl&mime=video/mp4&dur=1499.823&lmt=1545868092504349&mt=1546042394&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546072108&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=0F5B8F17AD0140132E517D378AC6C9089F5BD90FE06554D6CE3FE2A2EF2032BF.AA8FA9EB26D960FAD3F538D445AFA867452CA101EF41499EA38FFBBE6451B7E7&key=us0 ",seishun-buta-yarou-wa-bunny-girl-senpai-no-yume-wo-minai-episode-13
