title,series,rating,category,episode,description,image,video,slug
Manaria Friends Episode 1,Manaria Friends,N/A,"Action,Adventure,Demons,Supernatural,Magic,Fantasy",1,"Nonton Manaria Friends Sub Indo - Mysteria Academy adalah sekolah sihir bergengsi yang mengajarkan sihir tanpa diskriminasi kepada tiga faksi (pria, dewa, setan), yang biasanya terlibat dalam pertempuran satu sama lain. Dua siswa akademi adalah Anne, seorang putri dan siswa teladan, dan Grea, seorang putri yang lahir dari naga dan manusia.",https://cdn.myanimelist.net/images/anime/1580/95199.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHlKV1ZZV0xfRi1OQXZfeEpvUGFaNXBLbmY5T0xxcWxmM3ViX2ozR1ZWU2dlX1hZemY5OWYwVGZNZ1VDMUF5WkVRZE5RWEJGNkU5S2I4bnZiQXRtcWpfZFBsZ1loRmYtRTNka2l6Zzg3NFNoZ1QyZW5tWDlQZ0pfQkgtdGxpRlhEUUhBNUk&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,manaria-friends-episode-1
Captain Tsubasa Episode 39,Captain Tsubasa,7.8,"Action, Sports, Shounen",39,"Nonton Captain Tsubasa Sub Indo - Kapten Tsubasa adalah kisah bergairah dari seorang siswa sekolah dasar yang pikiran dan mimpinya hampir sepenuhnya berkisar pada cinta sepak bola. Tsubasa Oozora, 11 tahun, mulai bermain sepak bola pada usia yang sangat muda, dan meskipun sebagian besar hanya olahraga rekreasi untuk teman-temannya, baginya, itu berkembang menjadi sesuatu yang obsesi.",http://animeisme.com/assets/images/dp/CaptainTsubasa.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHpWWjlZYThnZFk2XzZVRmYxV2N0LWVnVHRWNnZMb0hmdlFjOUFhNlpldmFnOXNmZ0Rua0dKMXdvNkthMHhyRFZDWk93ZjFwNWNsN1NnTDkyanVPaExCMDRuU1BOdXprcG8xWnExbGZCY1JIbXF6YmdhRTFWTFNXanlaMTRMWTFUUERkNHc&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,captain-tsubasa-episode-39
Uchi no Maid ga Uzasugiru! Episode 12,Uchi no Maid ga Uzasugiru!,7.5,"Comedy,ShoujoAi,SliceofLife",12,"Nonton Uchi no Maid ga Uzasugiru! Sub Indo - Setelah kehilangan ibunya di usia muda, Misha Takanashi, anak kelas dua dengan darah Rusia, sekarang tinggal bersama ayah Jepangnya. Tsubame Kamoi, sebelumnya adalah perwira Pasukan Bela Diri, datang ke rumah tangga Takanashi sebagai pengurus rumah tangga. Ini adalah komedi rumah di mana Kamoi, seorang lolicon hardcore, berusaha mendekati Misha saat ia mencoba melawannya.",https://myanimelist.cdn-dena.com/images/anime/1786/95330.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHp0M0l3c25fcGhzbldVRTlkZm5IOWFOVzlxWWJEQjdnX0dDUUEtZkVhcG9wZi00YlNLTkM1Q3FXXzh1c0RabEF0NDNTUFJiT0E3T3dHb00yWEI4RVN4cTFfZGVFcktUTGlRTVRPMDBNZlBhUV8teVZsaWFJWHVSX2dLVVlzTnFiUEJYaEVl&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,uchi-no-maid-ga-uzasugiru!-episode-12
Golden Kamuy S2 Episode 12,Golden Kamuy S2,7.8,"Action,Adventure,Historical,Seinen",12,Nonton Golden Kamuy 2nd Season Sub Indo - Musim Kedua dari Golden Kamuy.,https://myanimelist.cdn-dena.com/images/anime/1180/95018.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHhNWVZCT2RpUDZDakNzd3NsLUJpOVNyYjZfUWhPX1RMbGpRLWlaWG1HTlM5Z2RaMVc3ZG44Y1FNNXZhdHk4RXpoNTZBYXllOWNJVXRJRGVuTkkyaVhaMXZLWFpCV25ndmJhTlBic3pQc3NKMk1zMVhsTmhSNWs5RDNMX0FBV2p3Y1FBc1U&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,golden-kamuy-s2-episode-12
Tokyo Ghoul:re S2 Episode 12,Tokyo Ghoul:re S2,7.11,"Action,Drama,Horror,Mystery,Psychological,Seinen,Supernatural",12,Nonton Tokyo Ghoul:re Season 2 Sub Indo - musim kedua Tokyo Ghoul:re.,https://myanimelist.cdn-dena.com/images/anime/1719/93889.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHpUOEx3ODVvSGlEdW1HWlgwMV9RVllGeW9yU0t4MTRneDZFV1dNeWRlSVMzdHVKcl9lSlhTY3dCYWJxN1dxajNvck84NUQyVXFOTzFJUUQ5dC1NZ05JdXZweE5IY1k2RG1LNVRpSE1GVUhPN3ZUd1VrMFNzMHRzblYzUDE5QWNwQ0hWMzJT&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,tokyo-ghoul:re-s2-episode-12
title,series,rating,category,episode,description,image,video,slug
Tokyo Ghoul:re S2 Episode 12,Tokyo Ghoul:re S2,7.11,"Action,Drama,Horror,Mystery,Psychological,Seinen,Supernatural",12,Nonton Tokyo Ghoul:re Season 2 Sub Indo - musim kedua Tokyo Ghoul:re.,https://myanimelist.cdn-dena.com/images/anime/1719/93889.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHpUOEx3ODVvSGlEdW1HWlgwMV9RVllGeW9yU0t4MTRneDZFV1dNeWRlSVMzdHVKcl9lSlhTY3dCYWJxN1dxajNvck84NUQyVXFOTzFJUUQ5dC1NZ05JdXZweE5IY1k2RG1LNVRpSE1GVUhPN3ZUd1VrMFNzMHRzblYzUDE5QWNwQ0hWMzJT&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,tokyo-ghoul:re-s2-episode-12
Hangyakusei Million Arthur Episode 9,Hangyakusei Million Arthur,6.8,"Action,Adventure,Fantasy,Magic",9,"Nonton Hangyakusei Million Arthur Sub Indo - Excalibur merupakan senjata kuat yang mampu menyebabkan distorsi sejarah. Untuk mengatasinya, keenam Arthur yang terdiri dari Danchou Arthur, Tekken Arthur, Yamaneko Arthur, Renkin Arthur, Kakka Arthur, dan Rurou Arthur, melakukan perjalanan ke masa lalu untuk menghancurkan Excalibur. Tidak main-main, jumlah Excalibur itu adalah sebanyak satu juta. Ini adalah kisah para Arthur untuk melindungi sejarah dan masa depan.",https://myanimelist.cdn-dena.com/images/anime/1881/93383.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHk2VE1yWVlxdVByMEYxMlJzSjh2MDFiSUJrT3RHOFdTOUg5bi1aS1g2Y21IWjRVUUo5cmtESW1kM3FzWlNsZ2FDYy1sRmhjY1A1QVFOQmI3NW1zYkYyTHRlaURxYjBadHJRNUNhaGs3Sk5IcG02cXhvQmFDZ1hjSFpVSWl6OHJDYkJwVXc&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,hangyakusei-million-arthur-episode-9
Black Clover Episode 64,Black Clover,7.4,"Animation, Action, Comedy, Fantasy",64,"Nonton Black Clover Sub Indo - Black Clover Subtitle Indonesia adalah serial Anime Sh?nen fantasi Jepang yang ditulis dan diilustrasikan oleh Y?ki Tabata. Cerita berpusat di sekitar seorang anak muda bernama Asta, yang lahir tanpa kekuatan sihir, sesuatu yang tidak diketahui di dunia tempat dia tinggal. Dengan ambisinya, kemampuan dan teman baru yang baru ditemukan, dia bertujuan untuk menjadi raja sihir.",https://cdn.myanimelist.net/images/anime/2/88336.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHdnbzBoUzU4OFhOcWJGMHdxb1NlOFZWUGtMVV8zU0t1YU1kNnVQbVIyNEI5WlZnaEthMWJaMmFWVElJNktSMVRwOVRyVTYtSEVzLXlGVk94aVB1Z3cwT1FaVk5raDJRS3QxNFNOcFZPNV9kUm1VQldEdk1yWWFhbEZvaWJJUDdDTVhnOVU&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,black-clover-episode-64
Manaria Friends Episode 1,Manaria Friends,N/A,"Action,Adventure,Demons,Supernatural,Magic,Fantasy",1,"Nonton Manaria Friends Sub Indo - Mysteria Academy adalah sekolah sihir bergengsi yang mengajarkan sihir tanpa diskriminasi kepada tiga faksi (pria, dewa, setan), yang biasanya terlibat dalam pertempuran satu sama lain. Dua siswa akademi adalah Anne, seorang putri dan siswa teladan, dan Grea, seorang putri yang lahir dari naga dan manusia.",https://cdn.myanimelist.net/images/anime/1580/95199.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHlKV1ZZV0xfRi1OQXZfeEpvUGFaNXBLbmY5T0xxcWxmM3ViX2ozR1ZWU2dlX1hZemY5OWYwVGZNZ1VDMUF5WkVRZE5RWEJGNkU5S2I4bnZiQXRtcWpfZFBsZ1loRmYtRTNka2l6Zzg3NFNoZ1QyZW5tWDlQZ0pfQkgtdGxpRlhEUUhBNUk&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,manaria-friends-episode-1
Captain Tsubasa Episode 39,Captain Tsubasa,7.8,"Action, Sports, Shounen",39,"Nonton Captain Tsubasa Sub Indo - Kapten Tsubasa adalah kisah bergairah dari seorang siswa sekolah dasar yang pikiran dan mimpinya hampir sepenuhnya berkisar pada cinta sepak bola. Tsubasa Oozora, 11 tahun, mulai bermain sepak bola pada usia yang sangat muda, dan meskipun sebagian besar hanya olahraga rekreasi untuk teman-temannya, baginya, itu berkembang menjadi sesuatu yang obsesi.",http://animeisme.com/assets/images/dp/CaptainTsubasa.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHpWWjlZYThnZFk2XzZVRmYxV2N0LWVnVHRWNnZMb0hmdlFjOUFhNlpldmFnOXNmZ0Rua0dKMXdvNkthMHhyRFZDWk93ZjFwNWNsN1NnTDkyanVPaExCMDRuU1BOdXprcG8xWnExbGZCY1JIbXF6YmdhRTFWTFNXanlaMTRMWTFUUERkNHc&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,captain-tsubasa-episode-39
Uchi no Maid ga Uzasugiru! Episode 12,Uchi no Maid ga Uzasugiru!,7.5,"Comedy,ShoujoAi,SliceofLife",12,"Nonton Uchi no Maid ga Uzasugiru! Sub Indo - Setelah kehilangan ibunya di usia muda, Misha Takanashi, anak kelas dua dengan darah Rusia, sekarang tinggal bersama ayah Jepangnya. Tsubame Kamoi, sebelumnya adalah perwira Pasukan Bela Diri, datang ke rumah tangga Takanashi sebagai pengurus rumah tangga. Ini adalah komedi rumah di mana Kamoi, seorang lolicon hardcore, berusaha mendekati Misha saat ia mencoba melawannya.",https://myanimelist.cdn-dena.com/images/anime/1786/95330.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHp0M0l3c25fcGhzbldVRTlkZm5IOWFOVzlxWWJEQjdnX0dDUUEtZkVhcG9wZi00YlNLTkM1Q3FXXzh1c0RabEF0NDNTUFJiT0E3T3dHb00yWEI4RVN4cTFfZGVFcktUTGlRTVRPMDBNZlBhUV8teVZsaWFJWHVSX2dLVVlzTnFiUEJYaEVl&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,uchi-no-maid-ga-uzasugiru!-episode-12
Golden Kamuy S2 Episode 12,Golden Kamuy S2,7.8,"Action,Adventure,Historical,Seinen",12,Nonton Golden Kamuy 2nd Season Sub Indo - Musim Kedua dari Golden Kamuy.,https://myanimelist.cdn-dena.com/images/anime/1180/95018.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHhNWVZCT2RpUDZDakNzd3NsLUJpOVNyYjZfUWhPX1RMbGpRLWlaWG1HTlM5Z2RaMVc3ZG44Y1FNNXZhdHk4RXpoNTZBYXllOWNJVXRJRGVuTkkyaVhaMXZLWFpCV25ndmJhTlBic3pQc3NKMk1zMVhsTmhSNWs5RDNMX0FBV2p3Y1FBc1U&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,golden-kamuy-s2-episode-12
